date_key,date,year,quarter_number,quarter_text,month,year_month,week,year_week,week_start,week_end,week_range,abbreviated_weekday,weekday
26,"2021-01-26 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Tue,Tuesday
27,"2021-01-27 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Wed,Wednesday
28,"2021-01-28 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Thu,Thursday
29,"2021-01-29 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Fri,Friday
30,"2021-01-30 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Sat,Saturday
31,"2021-01-31 00:00:00",2021,1,"Q1 2021",1,"January 2021",4,"2021, Week 4","2021-01-25 00:00:00",2021-01-31,"Jan 25, 2021 to Jan 31, 2021 (Week 4)",Sun,Sunday
32,"2021-02-01 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Mon,Monday
33,"2021-02-02 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Tue,Tuesday
34,"2021-02-03 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Wed,Wednesday
35,"2021-02-04 00:00:00",2021,1,"Q1 2021",2,"February 2021",5,"2021, Week 5","2021-02-01 00:00:00",2021-02-07,"Feb 01, 2021 to Feb 07, 2021 (Week 5)",Thu,Thursday
